Purchaser,Copies Ordered
Argosy,49.0
Harrod's Library,50.0
Times Bk. Club,50.0
W. H. Smith (Book),50.0
Cornish B'ham,50.0
Dawson,51.0
Gordon & Gotch (B 6986/A83),56.0
Sherratt & Hughes,60.0
Douglas & Foulis,64.0
Timothy Whites,67.0
Book Socy,73.0
Foyle,75.0
Stevens & Brown,77.0
Heffer,77.0
W. H. Smith (Library),100.0
Harrods Lib,100.0
"Smith, W. H.",100.0
Irwin & Gordon,100.0
Hatchards,119.0
Gordon & Gotch,125.0
Blackwell,125.0
Book Society,132.0
Clark,133.0
Mudies (Lib),150.0
Mudies,173.0
Times Bk. Co.,225.0
Jackson (USA),300.0
Bumpus,317.0
Times,419.0
Simpkin,494.0
Jackson,508.0
Simpkins,847.0
W. H. Smith,868.0
Boots,957.0
